,,2011 Census Population,,,,,,,Population Density,Household Composition,,Country of Birth,Tenure,,Dwelling type,House Prices,Adults in Employment,Lone Parents,Economic Activity,,Qualifications,,,,,,,,Health,,,,,,Car or van availability,,,,,,Public Transport Accessibility Levels (2014),,,Child Benefit,"Household Income, 2011/12"
,,Age Structure,,,,,,,Persons per hectare,% Lone parent household,% One person household,% Not United Kingdom,Social rented (%),Private rented (%),"Flat, maisonette or apartment (%)",Median Price (£),% of households with no adults in employment: With dependent children,Lone parent not in employment %,Employment Rate,Unemployment Rate,% No qualifications,% Highest level of qualification: Level 1 qualifications,% Highest level of qualification: Level 2 qualifications,% Highest level of qualification: Apprenticeship,% Highest level of qualification: Level 3 qualifications,% Highest level of qualification: Level 4 qualifications and above,% Highest level of qualification: Other qualifications,% Schoolchildren and full-time students: Age 18 and over,Day-to-day activities limited a lot (%),Day-to-day activities limited a little (%),Day-to-day activities not limited (%),Very good or Good health (%),Fair health (%),Bad or Very Bad health (%),No cars or vans in household (%),1 car or van in household (%),2 cars or vans in household (%),3 cars or vans in household (%),4 or more cars or vans in household (%),Cars per household,% 0-1 (poor access),% 2-3 (average access),% 4-6 (good access),Total Number of Families Claiming Benefit,Median Annual Household Income estimate (£)
Codes,Names,All Ages,0-15,16-29,30-44,45-64,65+,Working-age,,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,,,,2013,
E01000067,Barking and Dagenham 011B,1969,452,429,408,452,228,1289,102.3,13.0,25.3,30.3,19.0,12.5,32.2,250000,6,46.6,55.3,8.7,23.1,14.2,15.9,3.1,10.4,23.6,9.7,8.6,6.9,6.4,86.7,83.5,11.9,4.6,29.5,43.7,21.1,4.0,1.8,1.1,36.7,63.3,0.0,305,39939
E01000069,Barking and Dagenham 011C,1763,408,408,346,421,180,1175,87.9,9.6,16.0,27.2,1.2,11.3,4.4,298000,3,31.0,59.7,4.3,20.5,14.4,16.5,2.8,12.2,23.7,10.0,8.9,5.6,6.9,87.6,85.5,10.6,3.9,15.8,44.6,28.7,9.2,1.8,1.4,7.6,92.4,0.0,240,47264
E01000070,Barking and Dagenham 011D,1975,417,462,407,409,280,1278,50.4,8.5,17.9,34.2,6.0,14.5,15.9,250000,4,48.0,57.4,8.0,22.8,13.0,13.9,2.4,10.3,25.7,11.9,7.8,6.6,8.0,85.4,82.2,13.4,4.4,25.6,42.8,23.1,6.4,2.2,1.2,0.0,93.7,6.3,255,44258
E01000071,Barking and Dagenham 011E,2253,539,494,517,425,278,1436,83.3,11.0,28.3,37.5,14.4,21.5,27.6,249995,6,49.2,59.0,8.0,22.3,13.7,13.0,2.0,10.6,28.2,10.2,8.5,6.6,7.8,85.6,83.9,11.1,5.0,28.2,47.8,18.7,3.3,2.0,1.1,13.0,87.0,0.0,345,39056
E01000057,Barking and Dagenham 012A,1496,437,274,352,296,137,922,101.3,25.5,22.5,28.5,40.0,13.4,16.6,152500,14,54.9,56.9,9.4,26.8,16.4,14.5,2.6,8.9,21.2,9.4,6.8,8.1,7.3,84.6,81.3,12.8,5.9,37.6,49.0,10.8,2.2,0.4,0.8,6.2,93.8,0.0,265,28151
E01000073,Barking and Dagenham 012B,1619,437,286,401,308,187,995,56.9,19.9,27.9,24.3,31.1,16.3,8.0,155000,9,46.7,58.3,10.2,30.6,18.0,15.0,3.0,7.6,17.1,8.6,5.2,10.6,6.9,82.5,78.4,13.8,7.8,35.2,47.4,15.0,1.9,0.5,0.9,100.0,0.0,0.0,315,28149
E01000074,Barking and Dagenham 012C,1567,438,299,365,304,161,968,95.4,21.3,31.8,22.0,42.3,14.5,13.9,152000,10,52.9,57.6,9.4,29.3,17.4,16.0,2.4,9.8,16.7,8.4,6.4,9.1,8.8,82.1,79.3,14.2,6.5,40.4,43.6,13.2,2.5,0.3,0.8,60.1,39.9,0.0,305,27744
E01000075,Barking and Dagenham 012D,1732,432,312,378,396,214,1086,33.5,14.1,25.6,24.0,32.3,10.8,4.6,181500,8,55.0,54.4,9.2,31.8,16.5,16.7,2.5,8.8,15.4,8.4,5.0,9.7,8.9,81.4,79.4,12.9,7.7,32.2,46.5,16.9,3.7,0.8,0.9,0.0,100.0,0.0,275,28890
E01000076,Barking and Dagenham 012E,1988,605,341,467,396,179,1204,104.2,19.3,28.6,25.6,42.8,14.5,14.4,151000,13,53.7,54.7,11.0,36.2,13.7,15.7,2.2,7.6,16.1,8.5,5.5,7.7,8.6,83.8,79.0,15.0,5.9,39.4,41.0,15.5,3.5,0.6,0.8,57.5,42.5,0.0,325,26661
E01000013,Barking and Dagenham 013A,1660,415,311,359,359,216,1029,79.9,20.8,25.2,26.4,39.1,15.2,11.5,161000,11,59.6,56.5,10.1,33.5,14.1,15.6,1.4,9.2,16.9,9.2,5.9,10.8,8.5,80.7,79.6,11.2,9.2,43.4,43.4,10.9,1.8,0.5,0.7,0.6,81.6,17.8,290,27808
